source,target,correlation,abs_correlation,relationship_type,source_price_movement,source_close,source_traded_quantity,source_traded_amount,target_price_movement,target_close,target_traded_quantity,target_traded_amount
GBIME,SCB,0.7721994296390843,0.7721994296390843,positive,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668,-0.26199405646359597,1290.785753343239,14144.993164933136,11906390.341482911
NBL,PCBL,0.7712782525329696,0.7712782525329696,positive,-1.0642124789207419,326.5633929173693,89173.25059021922,31678139.9947285,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577
PRVU,SANIMA,0.7637575162013637,0.7637575162013637,positive,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267
ADBL,EBL,0.7612450071729255,0.7612450071729255,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984
NBB,SBI,0.7612038484093199,0.7612038484093199,positive,-0.008458333333333241,375.4579166666667,50240.48333333333,20941272.471916664,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965
ADBL,SCB,0.7501833718637935,0.7501833718637935,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,-0.26199405646359597,1290.785753343239,14144.993164933136,11906390.341482911
HBL,PRVU,0.7478378568569573,0.7478378568569573,positive,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747
MBL,PRVU,0.7417435965231407,0.7417435965231407,positive,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747
CZBIL,NBB,0.7377675569840881,0.7377675569840881,positive,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146,-0.008458333333333241,375.4579166666667,50240.48333333333,20941272.471916664
NBB,SCB,0.7300968918363852,0.7300968918363852,positive,-0.008458333333333241,375.4579166666667,50240.48333333333,20941272.471916664,-0.26199405646359597,1290.785753343239,14144.993164933136,11906390.341482911
PRVU,SBL,0.7182403468243191,0.7182403468243191,positive,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026
ADBL,KBL,0.7113073342815409,0.7113073342815409,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142
NBB,SANIMA,0.6910701905514601,0.6910701905514601,positive,-0.008458333333333241,375.4579166666667,50240.48333333333,20941272.471916664,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267
EBL,PRVU,0.6656026295344487,0.6656026295344487,positive,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747
PRVU,SBI,0.6640664663376239,0.6640664663376239,positive,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965
KBL,NBL,0.6631057857770155,0.6631057857770155,positive,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142,-1.0642124789207419,326.5633929173693,89173.25059021922,31678139.9947285
PRVU,SCB,0.6569524837662847,0.6569524837662847,positive,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747,-0.26199405646359597,1290.785753343239,14144.993164933136,11906390.341482911
NBL,SBL,0.6467503509632887,0.6467503509632887,positive,-1.0642124789207419,326.5633929173693,89173.25059021922,31678139.9947285,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026
ADBL,NBB,0.646589757877333,0.646589757877333,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,-0.008458333333333241,375.4579166666667,50240.48333333333,20941272.471916664
NABIL,NBL,0.641189294751765,0.641189294751765,positive,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765,-1.0642124789207419,326.5633929173693,89173.25059021922,31678139.9947285
HBL,NBL,0.6397857429862025,0.6397857429862025,positive,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225,-1.0642124789207419,326.5633929173693,89173.25059021922,31678139.9947285
NBB,PCBL,0.6383488727225781,0.6383488727225781,positive,-0.008458333333333241,375.4579166666667,50240.48333333333,20941272.471916664,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577
KBL,NBB,0.6361494526338543,0.6361494526338543,positive,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142,-0.008458333333333241,375.4579166666667,50240.48333333333,20941272.471916664
